Supercluster,Cluster,ClusterGroup,Neuron,idid,Gene name,Driver,Sex,Raw score,Normalised score,,
XVII,28,1,fru-M-700179,279,FruMARCM-M002504_seg001,fru-Gal4,M,20352.55,1,,
XVII,28,1,fru-M-000179,170,FruMARCM-M002388_seg003,fru-Gal4,M,14181.16,0.65,,
XVII,28,1,Trh-M-000092,2266,TPHMARCM-M001753_seg001,Trh-Gal4,M,11549.78,0.48,,
XVII,28,1,Cha-F-800065,3920,ChaMARCM-F001578_seg001,Cha-Gal4,F,10591.43,0.57,,
XVII,28,1,Gad1-F-200153,4120,GadMARCM-F000706_seg001,Gad1-Gal4,F,11182.11,0.5,,
XVII,28,1,VGlut-F-500813,6582,DvGlutMARCM-F004343_seg001,VGlut-Gal4,F,13153.2,0.64,,
XVII,28,1,VGlut-F-200429,12137,DvGlutMARCM-F002630_seg001,VGlut-Gal4,F,13067.43,0.7,,
XVII,28,1,VGlut-F-500354,13081,DvGlutMARCM-F2103_seg1,VGlut-Gal4,F,11933.4,0.55,,
XVII,28,1,VGlut-F-300199,14377,DvGlutMARCM-F1057_seg1,VGlut-Gal4,F,11516.02,0.59,,
XVII,100,2,fru-M-300168,1305,FruMARCM-M001515_seg002,fru-Gal4,M,31673.45,1,,
XVII,100,2,fru-M-200274,97,FruMARCM-M002296_seg001,fru-Gal4,M,15827.43,0.41,,
XVII,100,2,fru-M-000188,240,FruMARCM-M002455_seg001,fru-Gal4,M,21925.03,0.67,,
XVII,100,2,fru-M-400156,507,FruMARCM-M001611_seg001,fru-Gal4,M,23000.28,0.68,,
XVII,100,2,fru-M-300231,766,FruMARCM-M001980_seg001,fru-Gal4,M,22667.37,0.72,,
XVII,100,2,fru-M-000138,787,FruMARCM-M002002_seg002,fru-Gal4,M,22605.79,0.71,,
XVII,100,2,fru-M-500203,801,FruMARCM-M002011_seg001,fru-Gal4,M,22618.95,0.68,,
XVII,100,2,fru-M-300244,878,FruMARCM-M002143_seg001,fru-Gal4,M,22294.9,0.7,,
XVII,100,2,fru-M-700136,887,FruMARCM-M002157_seg001,fru-Gal4,M,22344.35,0.7,,
XVII,100,2,fru-M-000057,1147,FruMARCM-M001341_seg001,fru-Gal4,M,22186.58,0.71,,
XVII,100,2,fru-M-200190,1214,FruMARCM-M001399_seg001,fru-Gal4,M,21575.75,0.71,,
XVII,100,2,fru-M-500072,1386,FruMARCM-M000891_seg001,fru-Gal4,M,20231.8,0.67,,
XVII,100,2,fru-M-500074,1388,FruMARCM-M000892_seg002,fru-Gal4,M,21627.26,0.7,,
XVII,100,2,fru-M-000017,1560,FruMARCM-M000630_seg002,fru-Gal4,M,20169.28,0.67,,
XVII,100,2,fru-F-000121,3746,FruMARCM-F002338_seg001,fru-Gal4,F,23055.15,0.71,,
XVII,100,2,fru-F-100085,3767,FruMARCM-F002361_seg001,fru-Gal4,F,21869.44,0.69,,
XVII,100,2,fru-F-400162,4498,FruMARCM-F001601_seg001,fru-Gal4,F,23504.11,0.74,,
XVII,100,2,fru-F-200143,4697,FruMARCM-F001947_seg001,fru-Gal4,F,21781.83,0.69,,
XVII,100,2,fru-F-800059,4748,FruMARCM-F002069_seg001,fru-Gal4,F,22339.12,0.71,,
XVII,100,2,VGlut-F-000009,6074,DvGlutMARCM-F062-X3_seg1,VGlut-Gal4,F,21760.99,0.65,,
XVII,100,2,fru-F-100012,6154,FruMARCM-F000382_seg003,fru-Gal4,F,13781.01,0.59,,
XVII,100,2,fru-F-200084,6252,FruMARCM-F001270_seg001,fru-Gal4,F,20968.32,0.67,,
XVII,100,2,fru-F-000051,6290,FruMARCM-F001386_seg001,fru-Gal4,F,22359.06,0.72,,
XVII,100,2,fru-F-400158,6366,FruMARCM-F001506_seg002,fru-Gal4,F,20938.78,0.69,,
XVII,100,2,VGlut-F-800280,6581,DvGlutMARCM-F004342_seg001,VGlut-Gal4,F,20480.3,0.67,,
XVII,100,2,VGlut-F-700548,6644,DvGlutMARCM-F004391_seg001,VGlut-Gal4,F,20538.65,0.69,,
XVII,100,2,VGlut-F-300577,6895,DvGlutMARCM-F004051_seg001,VGlut-Gal4,F,22410.47,0.69,,
XVII,100,2,fru-F-700112,7378,FruMARCM-F001004_seg002,fru-Gal4,F,18317.51,0.65,,
XVII,100,2,VGlut-F-500730,7421,DvGlutMARCM-F003876_seg001,VGlut-Gal4,F,21535.81,0.7,,
XVII,100,2,VGlut-F-000594,7951,DvGlutMARCM-F003782_seg002,VGlut-Gal4,F,19783.6,0.67,,
XVII,100,2,Cha-F-400062,8382,ChaMARCM-F000322_seg001,Cha-Gal4,F,20553.35,0.67,,
XVII,100,2,VGlut-F-700405,8619,DvGlutMARCM-F003673_seg001,VGlut-Gal4,F,22256.13,0.72,,
XVII,100,2,VGlut-F-000534,8728,DvGlutMARCM-F003559_seg002,VGlut-Gal4,F,19201.05,0.65,,
XVII,100,2,Gad1-F-100039,9577,GadMARCM-F000448_seg001,Gad1-Gal4,F,9567.74,0.48,,
XVII,100,2,fru-F-100008,9790,FruMARCM-F000309_seg001,fru-Gal4,F,22203.51,0.72,,
XVII,100,2,fru-F-200035,9851,FruMARCM-F000439_seg001,fru-Gal4,F,21690.12,0.7,,
XVII,100,2,VGlut-F-200437,11056,DvGlutMARCM-F002935_seg001,VGlut-Gal4,F,21754.89,0.7,,
XVII,100,2,VGlut-F-500426,12050,DvGlutMARCM-F002564_seg001,VGlut-Gal4,F,21863.35,0.7,,
XVII,100,2,VGlut-F-700031,12763,DvGlutMARCM-F1817_seg1,VGlut-Gal4,F,21798.47,0.72,,
XVII,100,2,VGlut-F-400456,12862,DvGlutMARCM-F1903_seg2,VGlut-Gal4,F,19692.56,0.64,,
XVII,100,2,VGlut-F-300399,13161,DvGlutMARCM-F2198_seg1,VGlut-Gal4,F,21849.43,0.69,,
XVII,100,2,VGlut-F-000287,14397,DvGlutMARCM-F1077_seg1,VGlut-Gal4,F,18895.48,0.63,,
XVII,100,2,VGlut-F-200235,14836,DvGlutMARCM-F1180_seg1,VGlut-Gal4,F,17694.09,0.63,,
XVII,100,2,VGlut-F-900022,14975,DvGlutMARCM-F1314_seg1,VGlut-Gal4,F,21372.89,0.71,,
XVII,100,2,VGlut-F-300240,15011,DvGlutMARCM-F1351_seg1,VGlut-Gal4,F,19625.54,0.65,,
XVII,100,2,VGlut-F-800033,15130,DvGlutMARCM-F1463_seg1,VGlut-Gal4,F,18374.77,0.65,,
XVII,100,2,VGlut-F-300291,15238,DvGlutMARCM-F1560_seg1,VGlut-Gal4,F,22352.27,0.71,,
XVII,100,2,VGlut-F-200003,15591,DvGlutMARCM-F006_seg2,VGlut-Gal4,F,21869.59,0.7,,
XVII,100,2,VGlut-F-400005,15641,DvGlutMARCM-F055_seg1,VGlut-Gal4,F,18811.49,0.64,,
XVII,100,2,VGlut-F-300008,15680,DvGlutMARCM-F095_seg1,VGlut-Gal4,F,21890.17,0.69,,
XVII,100,2,VGlut-F-100008,15760,DvGlutMARCM-F167_seg1,VGlut-Gal4,F,21792.39,0.71,,
XVII,100,2,VGlut-F-600004,15808,DvGlutMARCM-F216_seg1,VGlut-Gal4,F,21882.67,0.71,,
XVII,100,2,VGlut-F-400034,15810,DvGlutMARCM-F218_seg1,VGlut-Gal4,F,19586.56,0.64,,
XVII,100,2,VGlut-F-300070,15968,DvGlutMARCM-F360_seg1,VGlut-Gal4,F,20907.7,0.66,,
XVII,100,2,VGlut-F-300084,16160,DvGlutMARCM-F542_seg1,VGlut-Gal4,F,20989.32,0.7,,
XVII,109,3,fru-M-500088,1441,FruMARCM-M001011_seg002,fru-Gal4,M,20534.78,1,,
XVII,109,3,Gad1-F-100071,3985,GadMARCM-F000606_seg001,Gad1-Gal4,F,9624.93,0.45,,
XVII,109,3,Cha-F-300322,4456,ChaMARCM-F001498_seg001,Cha-Gal4,F,8283.16,0.35,,
XVII,109,3,fru-F-500245,4736,FruMARCM-F002060_seg001,fru-Gal4,F,11197.69,0.6,,
XVII,109,3,Cha-F-400174,5430,ChaMARCM-F000777_seg002,Cha-Gal4,F,7830.2,0.45,,
XVII,109,3,fru-F-000058,6350,FruMARCM-F001499_seg002,fru-Gal4,F,10723.6,0.59,,
XVII,109,3,VGlut-F-400864,6942,DvGlutMARCM-F004096_seg001,VGlut-Gal4,F,13887.49,0.53,,
XVII,109,3,Cha-F-500128,7174,ChaMARCM-F000627_seg001,Cha-Gal4,F,11001.74,0.33,,
XVII,109,3,Cha-F-800023,7653,ChaMARCM-F000484_seg002,Cha-Gal4,F,8065.94,0.52,,
XVII,109,3,Cha-F-500085,8377,ChaMARCM-F000317_seg002,Cha-Gal4,F,14254.7,0.56,,
XVII,109,3,fru-F-500078,10004,FruMARCM-F000584_seg005,fru-Gal4,F,11185.45,0.62,,
XVII,109,3,fru-F-000000,11431,FruMARCM-F000036_seg001,fru-Gal4,F,13646.45,0.66,,
XVII,109,3,VGlut-F-000433,12970,DvGlutMARCM-F2006_seg1,VGlut-Gal4,F,14450.32,0.49,,
XVII,109,3,Trh-F-200040,13979,TPHMARCM-269F_seg1,Trh-Gal4,F,10953.73,0.46,,
XVII,167,4,Trh-M-100074,2628,TPHMARCM-M001366_seg001,Trh-Gal4,M,24874.08,1,,
XVII,167,4,Trh-M-000043,2688,TPHMARCM-M001455_seg001,Trh-Gal4,M,16699.35,0.6,,
XVII,167,4,Trh-M-000047,2692,TPHMARCM-M001459_seg001,Trh-Gal4,M,16127.35,0.63,,
XVII,167,4,Cha-F-000295,4185,ChaMARCM-F001290_seg001,Cha-Gal4,F,2871.29,0.35,,
XVII,167,4,Cha-F-300174,7208,ChaMARCM-F000650_seg002,Cha-Gal4,F,10008.85,0.49,,
XVII,167,4,fru-F-400103,7870,FruMARCM-F000795_seg001,fru-Gal4,F,9145.43,0.41,,
XVII,167,4,Cha-F-400015,10084,ChaMARCM-F000044_seg001,Cha-Gal4,F,11185.83,0.5,,
XVII,167,4,Tdc2-F-000006,13189,dTdc-2MARCM-F-020_seg1,Tdc2-Gal4,F,14192.84,0.55,,
XVII,167,4,Trh-F-000028,14090,TPHMARCM-441F_seg1,Trh-Gal4,F,16874.5,0.68,,
XVII,167,4,VGlut-F-200052,15687,DvGlutMARCM-F102_seg1,VGlut-Gal4,F,10592.15,0.51,,
XVII,472,5,fru-F-700078,7285,FruMARCM-F000916_seg001,fru-Gal4,F,17174.96,1,,
XVII,472,5,fru-M-000015,1558,FruMARCM-M000629_seg001,fru-Gal4,M,9489.12,0.47,,
XVII,472,5,Cha-F-700185,3876,ChaMARCM-F001543_seg001,Cha-Gal4,F,11521.6,0.62,,
XVII,472,5,Gad1-F-600096,3994,GadMARCM-F000613_seg001,Gad1-Gal4,F,11299.71,0.63,,
XVII,472,5,Cha-F-200360,4132,ChaMARCM-F001412_seg001,Cha-Gal4,F,10606.82,0.48,,
XVII,472,5,Gad1-F-200033,6006,GadMARCM-F000147_seg002,Gad1-Gal4,F,9822.27,0.56,,
XVII,472,5,fru-F-500184,6322,FruMARCM-F001443_seg001,fru-Gal4,F,9454.56,0.54,,
XVII,472,5,fru-F-500116,7774,FruMARCM-F000671_seg002,fru-Gal4,F,11817.69,0.71,,
XVII,472,5,fru-F-500117,7775,FruMARCM-F000671_seg003,fru-Gal4,F,11042.2,0.62,,
XVII,472,5,fru-F-400067,9883,FruMARCM-F000477_seg001,fru-Gal4,F,11583.93,0.64,,
XVII,472,5,VGlut-F-300425,10949,DvGlutMARCM-F002845_seg001,VGlut-Gal4,F,9877.14,0.5,,
XVII,472,5,VGlut-F-500325,13031,DvGlutMARCM-F2055_seg1,VGlut-Gal4,F,9906.68,0.53,,
XVII,472,5,VGlut-F-500139,14382,DvGlutMARCM-F1062_seg1,VGlut-Gal4,F,9989.72,0.53,,
XVII,472,5,VGlut-F-100068,14718,DvGlutMARCM-F979_seg1,VGlut-Gal4,F,12153.37,0.57,,
XVII,623,6,fru-F-300016,9732,FruMARCM-F000242_seg001,fru-Gal4,F,18541.67,1,,
XVII,623,6,fru-M-000191,261,FruMARCM-M002487_seg001,fru-Gal4,M,13125.07,0.69,,
XVII,623,6,fru-M-000050,1132,FruMARCM-M001326_seg001,fru-Gal4,M,12833.95,0.67,,
XVII,623,6,fru-F-000113,4803,FruMARCM-F002140_seg001,fru-Gal4,F,12614.1,0.68,,
XVII,623,6,Cha-F-100088,5377,ChaMARCM-F000742_seg001,Cha-Gal4,F,12294.88,0.58,,
XVII,623,6,fru-F-700071,7278,FruMARCM-F000912_seg003,fru-Gal4,F,13449.38,0.66,,
XVII,623,6,fru-F-400128,7367,FruMARCM-F000995_seg001,fru-Gal4,F,13111.34,0.71,,
XVII,623,6,VGlut-F-100347,7400,DvGlutMARCM-F003858_seg001,VGlut-Gal4,F,12947.96,0.67,,
XVII,623,6,fru-F-500018,9888,FruMARCM-F000482_seg001,fru-Gal4,F,12648.21,0.62,,
XIX,10,7,fru-M-000174,143,FruMARCM-M002370_seg001,fru-Gal4,M,41251.79,1,,
XIX,10,7,fru-M-200273,94,FruMARCM-M002293_seg001,fru-Gal4,M,29127.44,0.71,,
XIX,10,7,fru-M-200281,118,FruMARCM-M002315_seg001,fru-Gal4,M,28340.14,0.69,,
XIX,10,7,fru-M-300267,189,FruMARCM-M002409_seg001,fru-Gal4,M,28342.52,0.7,,
XIX,10,7,fru-M-800105,263,FruMARCM-M002489_seg001,fru-Gal4,M,29484.59,0.72,,
XIX,10,7,fru-M-700182,284,FruMARCM-M002510_seg001,fru-Gal4,M,27168.9,0.67,,
XIX,10,7,fru-M-100213,290,FruMARCM-M002515_seg001,fru-Gal4,M,28499.58,0.67,,
XIX,10,7,fru-M-000217,401,FruMARCM-M002639_seg001,fru-Gal4,M,29293.57,0.69,,
XIX,10,7,fru-M-600015,1758,FruMARCM-M000248_seg001,fru-Gal4,M,28500.29,0.7,,
XIX,10,7,fru-M-000008,1932,FruMARCM-M000524_seg003,fru-Gal4,M,26823.44,0.67,,
XIX,10,7,fru-F-500280,3821,FruMARCM-F002633_seg001,fru-Gal4,F,17880.77,0.52,,
XIX,10,7,fru-F-400206,4761,FruMARCM-F002080_seg002,fru-Gal4,F,18150.68,0.54,,
XIX,10,7,fru-F-200147,4766,FruMARCM-F002085_seg001,fru-Gal4,F,30514.04,0.72,,
XIX,10,7,fru-F-700068,7275,FruMARCM-F000911_seg001,fru-Gal4,F,16959.43,0.47,,
XIX,10,7,fru-F-500043,9957,FruMARCM-F000548_seg002,fru-Gal4,F,16562.31,0.48,,
XIX,36,8,fru-M-200340,389,FruMARCM-M002622_seg002,fru-Gal4,M,115828.47,1,,
XIX,36,8,fru-M-300293,251,FruMARCM-M002480_seg002,fru-Gal4,M,87598.79,0.75,,
XIX,36,8,fru-M-000098,567,FruMARCM-M001753_seg001,fru-Gal4,M,83288.09,0.74,,
XIX,36,8,fru-M-100107,1090,FruMARCM-M001277_seg001,fru-Gal4,M,84499.75,0.74,,
XIX,36,8,fru-M-300066,1924,FruMARCM-M000519_seg001,fru-Gal4,M,76198.98,0.71,,
XIX,36,8,fru-M-300028,2459,FruMARCM-M000218_seg001,fru-Gal4,M,84807.01,0.75,,
XIX,36,8,fru-F-100077,3720,FruMARCM-F002218_seg001,fru-Gal4,F,84745.17,0.74,,
XIX,36,8,fru-F-000010,9735,FruMARCM-F000245_seg001,fru-Gal4,F,80008.65,0.71,,
XIX,36,8,VGlut-F-200369,13009,DvGlutMARCM-F2036_seg2,VGlut-Gal4,F,70421.93,0.56,,
XIX,83,9,TH-M-300024,941,THMARCM-253M_seg1,TH-Gal4,M,97320.97,1,,
XIX,83,9,fru-M-600098,85,FruMARCM-M002284_seg001,fru-Gal4,M,56798.51,0.64,,
XIX,83,9,TH-M-200083,3289,THMARCM-486M_seg1,TH-Gal4,M,74432.16,0.78,,
XIX,83,9,TH-M-300058,3324,THMARCM-571M_seg1,TH-Gal4,M,69985.2,0.68,,
XIX,83,9,Cha-F-500183,3843,ChaMARCM-F001517_seg001,Cha-Gal4,F,51453.66,0.61,,
XIX,83,9,Cha-F-400149,5284,ChaMARCM-F000675_seg001,Cha-Gal4,F,50775.01,0.59,,
XIX,83,9,Cha-F-400145,7204,ChaMARCM-F000648_seg001,Cha-Gal4,F,62068.64,0.69,,
XIX,83,9,TH-F-200043,10475,THMARCM-345F_seg2,TH-Gal4,F,71409.61,0.76,,
XIX,83,9,TH-F-200120,10490,THMARCM-742F_seg1,TH-Gal4,F,73588.91,0.78,,
XIX,83,9,TH-F-200109,13674,THMARCM-698F_seg,TH-Gal4,F,74999.83,0.78,,
XIX,83,9,TH-F-200124,13747,THMARCM-783F_seg1,TH-Gal4,F,74329.33,0.79,,
XIX,83,9,Trh-F-200063,14056,TPHMARCM-383F_seg1,Trh-Gal4,F,49987.07,0.62,,
XIX,83,9,Trh-F-300069,14124,TPHMARCM-511F_seg1,Trh-Gal4,F,46083.97,0.53,,
XIX,83,9,VGlut-F-300140,14423,DvGlutMARCM-F717_seg1,VGlut-Gal4,F,51420.31,0.45,,
XIX,83,9,VGlut-F-300040,15916,DvGlutMARCM-F312-X2_seg1,VGlut-Gal4,F,55637.02,0.57,,
XIX,189,9,TH-M-200006,3166,THMARCM-244M_seg1,TH-Gal4,M,94542,1,,
XIX,189,9,fru-M-500106,999,FruMARCM-M001180_seg001,fru-Gal4,M,52431.69,0.54,,
XIX,189,9,TH-M-200009,3168,THMARCM-256M_seg1,TH-Gal4,M,70620.43,0.75,,
XIX,189,9,TH-M-300032,3218,THMARCM-348M_seg1,TH-Gal4,M,69487.31,0.76,,
XIX,189,9,TH-M-200092,3319,THMARCM-567M_seg,TH-Gal4,M,71117.9,0.77,,
XIX,189,9,TH-M-300059,3325,THMARCM-579M_seg,TH-Gal4,M,54430.97,0.58,,
XIX,189,9,Trh-M-200000,3413,TPHMARCM-098M_seg1,Trh-Gal4,M,62370.12,0.7,,
XIX,189,9,Trh-M-300037,3534,TPHMARCM-435M_seg1,Trh-Gal4,M,58151.57,0.66,,
XIX,189,9,Cha-F-300341,3917,ChaMARCM-F001576_seg001,Cha-Gal4,F,64816.31,0.68,,
XIX,189,9,Cha-F-600039,7525,ChaMARCM-F000376_seg001,Cha-Gal4,F,9771.78,0.34,,
XIX,189,9,Cha-F-500050,8119,ChaMARCM-F000168_seg003,Cha-Gal4,F,45547.15,0.37,,
XIX,189,9,Gad1-F-300064,11227,GadMARCM-F000209_seg002,Gad1-Gal4,F,63851.22,0.73,,
XIX,189,9,Trh-F-200109,12703,TPHMARCM-1154F_seg1,Trh-Gal4,F,63516.88,0.7,,
XIX,189,9,TH-F-000008,13343,THMARCM-096F_seg1,TH-Gal4,F,68104.5,0.75,,
XIX,189,9,TH-F-200054,13503,THMARCM-378F_seg1,TH-Gal4,F,69840.63,0.77,,
XIX,189,9,TH-F-200066,13515,THMARCM-391F_seg2,TH-Gal4,F,70289.31,0.77,,
XIX,189,9,TH-F-300065,13564,THMARCM-466F_seg1,TH-Gal4,F,71926.87,0.78,,
XIX,189,9,TH-F-200098,13596,THMARCM-529F_seg1,TH-Gal4,F,71452.61,0.77,,
XIX,189,9,Trh-F-300023,13982,TPHMARCM-272F_seg1,Trh-Gal4,F,63230.58,0.72,,
XIX,887,9,Trh-F-100046,14053,TPHMARCM-379F_seg1,Trh-Gal4,F,16844.67,1,,
XIX,887,9,fru-M-900070,5,FruMARCM-M002507_seg001,fru-Gal4,M,12872.64,0.72,,
XIX,887,9,fru-M-200205,1297,FruMARCM-M001488_seg001,fru-Gal4,M,12461.68,0.71,,
XIX,887,9,Trh-M-000093,2267,TPHMARCM-M001754_seg001,Trh-Gal4,M,12536.66,0.74,,
XIX,887,9,Trh-M-000024,2650,TPHMARCM-M001419_seg001,Trh-Gal4,M,13191.09,0.77,,
XIX,887,9,Trh-M-000028,2654,TPHMARCM-M001422_seg002,Trh-Gal4,M,12933.42,0.74,,
XIX,887,9,Trh-M-100080,2665,TPHMARCM-M001429_seg001,Trh-Gal4,M,12915.02,0.75,,
XIX,887,9,Trh-M-100093,2716,TPHMARCM-M001480_seg001,Trh-Gal4,M,12139.63,0.71,,
XIX,887,9,Trh-M-300078,2944,TPHMARCM-888M_seg1,Trh-Gal4,M,11903.39,0.69,,
XIX,887,9,Trh-M-100024,3414,TPHMARCM-099M_seg1,Trh-Gal4,M,12798.06,0.74,,
XIX,887,9,Trh-M-000014,3477,TPHMARCM-348M_seg1,Trh-Gal4,M,12420.32,0.7,,
XIX,887,9,Cha-F-100271,4230,ChaMARCM-F001318_seg001,Cha-Gal4,F,11826.92,0.68,,
XIX,887,9,fru-F-200148,4767,FruMARCM-F002086_seg001,fru-Gal4,F,13203.34,0.74,,
XIX,887,9,Trh-F-100070,12490,TPHMARCM-1276F_seg1,Trh-Gal4,F,12384.32,0.7,,
XIX,887,9,Trh-F-100083,12589,TPHMARCM-F001382_seg001,Trh-Gal4,F,12870.72,0.75,,
XIX,887,9,Trh-F-100015,13808,TPHMARCM-027F_seg1,Trh-Gal4,F,12302.7,0.74,,
XIX,887,9,Trh-F-100017,13810,TPHMARCM-029F_seg1,Trh-Gal4,F,12673.4,0.75,,
