Supercluster,Cluster,ClusterGroup,Neuron,idid,Gene name,Driver,Sex,Raw score,Normalised score
X,998,1,VGlut-F-100009,15761,DvGlutMARCM-F168_seg1,VGlut-Gal4,F,51912.11,1
X,998,1,fru-M-600094,48,FruMARCM-M002241_seg001,fru-Gal4,M,33515.44,0.58
X,998,1,fru-M-300124,971,FruMARCM-M001146_seg001,fru-Gal4,M,30902.63,0.52
X,998,1,fru-M-100125,1159,FruMARCM-M001347_seg003,fru-Gal4,M,33712.16,0.63
X,998,1,fru-F-600103,4593,FruMARCM-F001710_seg001,fru-Gal4,F,35515.96,0.6
X,998,1,VGlut-F-700565,5750,DvGlutMARCM-F004455_seg002,VGlut-Gal4,F,23702.19,0.48
X,998,1,VGlut-F-500847,5759,DvGlutMARCM-F004463_seg001,VGlut-Gal4,F,35013.83,0.66
X,998,1,VGlut-F-900129,6640,DvGlutMARCM-F004388_seg001,VGlut-Gal4,F,28749.48,0.61
X,998,1,VGlut-F-500744,6742,DvGlutMARCM-F003947_seg001,VGlut-Gal4,F,35633.78,0.69
X,998,1,VGlut-F-600713,6785,DvGlutMARCM-F003980_seg001,VGlut-Gal4,F,29015.94,0.62
X,998,1,VGlut-F-600739,6880,DvGlutMARCM-F004038_seg005,VGlut-Gal4,F,33862.95,0.62
X,998,1,VGlut-F-600773,7064,DvGlutMARCM-F004193_seg001,VGlut-Gal4,F,33315.35,0.55
X,998,1,VGlut-F-700266,8500,DvGlutMARCM-F003083_seg001,VGlut-Gal4,F,36013.79,0.71
X,998,1,VGlut-F-700284,8521,DvGlutMARCM-F003100_seg001,VGlut-Gal4,F,37174.25,0.69
X,998,1,VGlut-F-600516,8548,DvGlutMARCM-F003119_seg001,VGlut-Gal4,F,33904.82,0.67
X,998,1,VGlut-F-600598,9045,DvGlutMARCM-F003368_seg001,VGlut-Gal4,F,36810.07,0.71
X,998,1,VGlut-F-500603,9384,DvGlutMARCM-F003214_seg001,VGlut-Gal4,F,31936.67,0.62
X,998,1,Gad1-F-300038,10566,GadMARCM-F000089_seg001,Gad1-Gal4,F,34963.07,0.59
X,998,1,VGlut-F-400241,10756,DvGlutMARCM-F843_seg1,VGlut-Gal4,F,36508.69,0.72
X,998,1,VGlut-F-500507,11160,DvGlutMARCM-F003011_seg002,VGlut-Gal4,F,34185.95,0.68
X,998,1,Cha-F-500001,11578,ChaMARCM-F000014_seg002,Cha-Gal4,F,32797.47,0.55
X,998,1,VGlut-F-300442,11720,DvGlutMARCM-F002293_seg001,VGlut-Gal4,F,29572.88,0.63
X,998,1,VGlut-F-600228,11830,DvGlutMARCM-F002389_seg001,VGlut-Gal4,F,35316.88,0.68
X,998,1,VGlut-F-400535,11913,DvGlutMARCM-F002448_seg002,VGlut-Gal4,F,35255.71,0.71
X,998,1,VGlut-F-500378,11922,DvGlutMARCM-F002457_seg001,VGlut-Gal4,F,33907.02,0.67
X,998,1,VGlut-F-500269,12787,DvGlutMARCM-F1835_seg1,VGlut-Gal4,F,33894.88,0.65
X,998,1,VGlut-F-600109,12932,DvGlutMARCM-F1970_seg3,VGlut-Gal4,F,39852.75,0.75
X,998,1,VGlut-F-400166,14419,DvGlutMARCM-F713_seg2,VGlut-Gal4,F,30350.62,0.66
X,998,1,VGlut-F-500113,14530,DvGlutMARCM-F800-x2_seg1,VGlut-Gal4,F,34379.9,0.68
X,998,1,VGlut-F-600064,15118,DvGlutMARCM-F1451_seg2,VGlut-Gal4,F,32144.04,0.57
X,998,1,VGlut-F-600069,15148,DvGlutMARCM-F1483_seg1,VGlut-Gal4,F,32376.26,0.61
X,998,1,VGlut-F-600072,15151,DvGlutMARCM-F1484_seg2,VGlut-Gal4,F,38163.03,0.72
X,998,1,VGlut-F-000366,15187,DvGlutMARCM-F1517_seg1,VGlut-Gal4,F,32455.36,0.64
X,998,1,VGlut-F-600078,15267,DvGlutMARCM-F1589_seg1,VGlut-Gal4,F,37497.69,0.71
X,998,1,VGlut-F-600081,15296,DvGlutMARCM-F1629_seg1,VGlut-Gal4,F,27557.28,0.56
X,998,1,VGlut-F-500255,15408,DvGlutMARCM-F1766_seg1,VGlut-Gal4,F,35463.73,0.67
X,998,1,VGlut-F-700009,15737,DvGlutMARCM-F148_seg1,VGlut-Gal4,F,36974.5,0.72
XVII,2,2,fru-M-200253,18,FruMARCM-M002204_seg001,fru-Gal4,M,32482.08,1
XVII,2,2,Gad1-F-200127,3973,GadMARCM-F000596_seg003,Gad1-Gal4,F,17090.43,0.54
XVII,2,2,Gad1-F-100072,4001,GadMARCM-F000618_seg001,Gad1-Gal4,F,13951.95,0.53
XVII,2,2,Gad1-F-900052,4034,GadMARCM-F000639_seg001,Gad1-Gal4,F,20465.14,0.57
XVII,2,2,Gad1-F-100077,4061,GadMARCM-F000658_seg001,Gad1-Gal4,F,15723.05,0.52
XVII,2,2,Gad1-F-000079,4079,GadMARCM-F000669_seg001,Gad1-Gal4,F,19144.16,0.66
XVII,2,2,fru-F-400180,4693,FruMARCM-F001928_seg001,fru-Gal4,F,16530.99,0.58
XVII,2,2,Cha-F-100221,5055,ChaMARCM-F001132_seg001,Cha-Gal4,F,17314.33,0.62
XVII,2,2,Cha-F-000242,5106,ChaMARCM-F001163_seg001,Cha-Gal4,F,18527.5,0.54
XVII,2,2,Cha-F-300186,5274,ChaMARCM-F000669_seg001,Cha-Gal4,F,17563.71,0.64
XVII,2,2,Cha-F-300221,5476,ChaMARCM-F000804_seg001,Cha-Gal4,F,16365.18,0.6
XVII,2,2,Cha-F-200186,5654,ChaMARCM-F000926_seg001,Cha-Gal4,F,15330.54,0.48
XVII,2,2,VGlut-F-300393,6109,DvGlutMARCM-F2181_seg1,VGlut-Gal4,F,18385.31,0.63
XVII,2,2,VGlut-F-200382,6115,DvGlutMARCM-F2194_seg1,VGlut-Gal4,F,22645.54,0.67
XVII,2,2,VGlut-F-700430,7386,DvGlutMARCM-F003842_seg002,VGlut-Gal4,F,17982.22,0.65
XVII,2,2,VGlut-F-700436,7392,DvGlutMARCM-F003852_seg001,VGlut-Gal4,F,16489.15,0.6
XVII,2,2,Cha-F-100028,7523,ChaMARCM-F000374_seg003,Cha-Gal4,F,17713.52,0.61
XVII,2,2,Cha-F-600081,7721,ChaMARCM-F000533_seg001,Cha-Gal4,F,19534.54,0.67
XVII,2,2,Gad1-F-500038,10656,GadMARCM-F000168_seg001,Gad1-Gal4,F,19996.69,0.68
XVII,2,2,VGlut-F-200389,11702,DvGlutMARCM-F002275_seg001,VGlut-Gal4,F,14648.74,0.57
XVII,2,2,VGlut-F-500444,12190,DvGlutMARCM-F002664_seg002,VGlut-Gal4,F,15921.38,0.57
XVII,2,2,VGlut-F-900028,12874,DvGlutMARCM-F1915_seg1,VGlut-Gal4,F,16629.62,0.55
XVII,2,2,VGlut-F-500323,13029,DvGlutMARCM-F2054_seg1,VGlut-Gal4,F,16556.37,0.53
XVII,2,2,VGlut-F-500253,15406,DvGlutMARCM-F1764_seg1,VGlut-Gal4,F,17067.52,0.6
XVII,2,2,VGlut-F-200021,15627,DvGlutMARCM-F043-X3_seg2,VGlut-Gal4,F,22507.05,0.67
XVII,14,3,fru-M-700164,183,FruMARCM-M002400_seg001,fru-Gal4,M,12459.82,1
XVII,14,3,fru-M-700174,208,FruMARCM-M002423_seg001,fru-Gal4,M,8120.15,0.69
XVII,14,3,fru-M-500115,1027,FruMARCM-M001207_seg001,fru-Gal4,M,8775.55,0.7
XVII,14,3,fru-M-700052,1355,FruMARCM-M000867_seg001,fru-Gal4,M,8499.38,0.69
XVII,14,3,fru-M-800040,1711,FruMARCM-M000863_seg001,fru-Gal4,M,8668.36,0.69
XVII,14,3,fru-M-200048,1792,FruMARCM-M000320_seg001,fru-Gal4,M,8865.42,0.71
XVII,14,3,Cha-F-200282,4191,ChaMARCM-F001293_seg001,Cha-Gal4,F,8155.93,0.59
XVII,14,3,fru-F-500205,4545,FruMARCM-F001655_seg002,fru-Gal4,F,8622.36,0.68
XVII,14,3,fru-F-200126,4622,FruMARCM-F001748_seg001,fru-Gal4,F,7115.02,0.5
XVII,14,3,fru-F-500229,4705,FruMARCM-F001995_seg001,fru-Gal4,F,8322.36,0.68
XVII,14,3,Cha-F-600124,5588,ChaMARCM-F000879_seg001,Cha-Gal4,F,8192.87,0.6
XVII,14,3,fru-F-700136,6298,FruMARCM-F001395_seg001,fru-Gal4,F,8878.09,0.67
XVII,14,3,fru-F-500181,6319,FruMARCM-F001441_seg004,fru-Gal4,F,8471.02,0.66
XVII,14,3,fru-F-500183,6321,FruMARCM-F001442_seg002,fru-Gal4,F,8595.64,0.7
XVII,14,3,Cha-F-300146,7731,ChaMARCM-F000540_seg003,Cha-Gal4,F,7869.51,0.63
XVII,14,3,Cha-F-500116,7737,ChaMARCM-F000544_seg001,Cha-Gal4,F,7085.73,0.52
XVII,14,3,Cha-F-700025,8043,ChaMARCM-F000121_seg003,Cha-Gal4,F,7912.67,0.65
XVII,14,3,Gad1-F-800028,9164,GadMARCM-F000389_seg001,Gad1-Gal4,F,8525.47,0.6
XVII,14,3,fru-F-400039,9744,FruMARCM-F000259_seg002,fru-Gal4,F,8348.93,0.67
XVII,14,3,fru-F-500032,9913,FruMARCM-F000498_seg001,fru-Gal4,F,8410.97,0.69
XVII,14,3,fru-F-600043,10014,FruMARCM-F000603_seg001,fru-Gal4,F,8364.26,0.69
XVII,14,3,fru-F-500099,10038,FruMARCM-F000625_seg001,fru-Gal4,F,8162.36,0.67
XVII,14,3,Gad1-F-000006,10583,GadMARCM-F000100_seg002,Gad1-Gal4,F,7512.41,0.6
XVII,14,3,VGlut-F-800061,12112,DvGlutMARCM-F002609_seg002,VGlut-Gal4,F,4925.47,0.48
XVII,14,3,Trh-F-300041,14048,TPHMARCM-376F_seg1,Trh-Gal4,F,7487.23,0.58
XVII,339,4,Cha-F-100223,5065,ChaMARCM-F001138_seg001,Cha-Gal4,F,64212.48,1
XVII,339,4,fru-M-000077,496,FruMARCM-M001592_seg001,fru-Gal4,M,36843.97,0.48
XVII,339,4,Cha-F-400240,3868,ChaMARCM-F001535_seg001,Cha-Gal4,F,27610.32,0.47
XVII,339,4,Gad1-F-900037,3953,GadMARCM-F000581_seg001,Gad1-Gal4,F,26339.47,0.45
XVII,339,4,Gad1-F-300135,3966,GadMARCM-F000590_seg001,Gad1-Gal4,F,31581.98,0.56
XVII,339,4,Cha-F-100278,4239,ChaMARCM-F001325_seg001,Cha-Gal4,F,31842.8,0.62
XVII,339,4,fru-F-000098,4640,FruMARCM-F001807_seg001,fru-Gal4,F,38058.17,0.49
XVII,339,4,Cha-F-300272,5037,ChaMARCM-F001121_seg002,Cha-Gal4,F,36386.51,0.63
XVII,339,4,VGlut-F-200319,6089,DvGlutMARCM-F1730_seg1,VGlut-Gal4,F,45068.39,0.69
XVII,339,4,VGlut-F-700522,6447,DvGlutMARCM-F004232_seg001,VGlut-Gal4,F,33541.38,0.61
XVII,339,4,VGlut-F-400863,6941,DvGlutMARCM-F004095_seg001,VGlut-Gal4,F,31286.92,0.56
XVII,339,4,Cha-F-500105,7562,ChaMARCM-F000411_seg003,Cha-Gal4,F,29786,0.58
XVII,339,4,Cha-F-700110,7584,ChaMARCM-F000440_seg001,Cha-Gal4,F,18719.13,0.48
XVII,339,4,Cha-F-000048,8326,ChaMARCM-F000284_seg003,Cha-Gal4,F,23269.33,0.49
XVII,339,4,Cha-F-300025,10178,ChaMARCM-F000107_seg001,Cha-Gal4,F,19231.01,0.37
XVII,339,4,Gad1-F-500014,10498,GadMARCM-F000152_seg001,Gad1-Gal4,F,25404.67,0.44
XVII,339,4,Gad1-F-500023,10507,GadMARCM-F000155_seg002,Gad1-Gal4,F,18582.78,0.43
XVII,339,4,Gad1-F-200039,10677,GadMARCM-F000182_seg001,Gad1-Gal4,F,22785.37,0.37
XVII,339,4,Gad1-F-100003,13168,GadMARCM-F005_seg1,Gad1-Gal4,F,26855.23,0.53
XVII,339,4,VGlut-F-400267,14641,DvGlutMARCM-F896_seg2,VGlut-Gal4,F,33990,0.61
XVII,339,4,VGlut-F-500032,15759,DvGlutMARCM-F166_seg1,VGlut-Gal4,F,31221.89,0.56
XVII,360,5,Cha-F-400179,5465,ChaMARCM-F000799_seg001,Cha-Gal4,F,14817.39,1
XVII,360,5,Cha-F-500187,3847,ChaMARCM-F001519_seg002,Cha-Gal4,F,9317.72,0.63
XVII,360,5,Cha-F-100083,5260,ChaMARCM-F000659_seg001,Cha-Gal4,F,6470.83,0.48
XVII,360,5,Cha-F-500138,5291,ChaMARCM-F000680_seg002,Cha-Gal4,F,7613.1,0.55
XVII,360,5,Cha-F-300204,5375,ChaMARCM-F000740_seg002,Cha-Gal4,F,7158.17,0.51
XVII,360,5,Cha-F-300241,5539,ChaMARCM-F000844_seg001,Cha-Gal4,F,10638.95,0.71
XVII,360,5,Cha-F-200169,5548,ChaMARCM-F000850_seg001,Cha-Gal4,F,8245.76,0.54
XVII,360,5,Cha-F-800045,5610,ChaMARCM-F000893_seg002,Cha-Gal4,F,7722.26,0.54
XVII,360,5,Cha-F-800011,7516,ChaMARCM-F000371_seg002,Cha-Gal4,F,9568.18,0.62
XVII,360,5,Cha-F-200082,7607,ChaMARCM-F000453_seg002,Cha-Gal4,F,7674.64,0.49
XVII,360,5,Gad1-F-100023,11267,GadMARCM-F000245_seg001,Gad1-Gal4,F,7384.81,0.52
XVII,360,5,VGlut-F-400058,15935,DvGlutMARCM-F330_seg2,VGlut-Gal4,F,7297.14,0.54
XVII,366,6,Cha-F-200185,5646,ChaMARCM-F000922_seg002,Cha-Gal4,F,34087.96,1
XVII,366,6,Gad1-F-900054,4036,GadMARCM-F000641_seg001,Gad1-Gal4,F,22609.08,0.62
XVII,366,6,Gad1-F-800082,4075,GadMARCM-F000665_seg001,Gad1-Gal4,F,22099.63,0.66
XVII,366,6,Gad1-F-200144,4094,GadMARCM-F000684_seg001,Gad1-Gal4,F,24480.95,0.7
XVII,366,6,Gad1-F-000096,4108,GadMARCM-F000693_seg002,Gad1-Gal4,F,22571.91,0.62
