Class,Type,LineName,CellNum,Strength,Density,Comments
LH-PN,1,12A11,5,3,2.5,LexA version seems not to label these cells
LH-PN,1,12B08,Many,2,1.5,
LH-PN,1,12E09,5,2,2.5,
LH-PN,1,37F03,5,3,3,
LH-PN,1,37F06,3,3,3,Mixup? Doesn't look at all as described
LH-PN,1,37G11,5,3,3,LexA is dimmer but probably best type 1 option
LH-PN,1,38A12,5,2,2.5,
LH-PN,1,41F09,3,2.5,2.5,
LH-PN,1,48F03,20,2,2.5,Type 1 line from MF's paper
LH-PN,1,59G07,3,2,2.5,LexA very dim
LH-PN,1,70D02,15,2.5,2.5,
LH-PN,1,72B11,5,2,2.5,
LH-PN,1,72F05,5,2,2.5,
LH-PN,1,73B12,10,2.5,2.5,Type 1 line from MF's paper
LH-PN,1,73C07,5,3,3,
LH-PN,1,77H09,5-10,3,3,
LH-PN,1,80B02,5-10,2,2.5,
LH-PN,1,89G07,3-5,2,2,
LH-PN,2,12H12,15,2,2,Type 2 from MF's paper - LexA decent but a bit dim (JJ has it)
LH-PN,2,14E05,2,2.5,2,
LH-PN,2,16B01,20,2.5,2,
LH-PN,2,26A01,Many,2.5,1.5,Looks pretty good
LH-PN,2,26C12,3-5,2,2.5,
LH-PN,2,44G08,20,3,2.5,Type 2 line from MF's paper
LH-PN,2,46E11,3,2,3,
LH-PN,2,59F02,10,2,2.5,"AL-LNs heavily labeled, but generally looks good - JJ has this"
LH-PN,2,77D09,?,1.5,Uncertain,
LH-PN,2,84G01,10,2.5,2,
LH-PN,2,85C03,5,2.5,2.5,
LH-PN,2,87B07,20,2.5,1.5,
LH-PN,2,94B04,30,3,2,
LH-PN,3,11E08,20,3,2.5,
LH-PN,3,12G10,20,1.5,2,
LH-PN,3,13G01,5,1.5,3,
LH-PN,3,14D11,15,2.5,2.5,
LH-PN,3,17B08,5,3,3,"WT has Gal4. These are MM's ""Type 5"" LH-PNs."
LH-PN,3,23H04,15,3,3,"LexA looks okay, but only labels ~5 cells per side"
LH-PN,3,28A10,20,3,2.5,
LH-PN,3,41F07,20,2.5,2.5,
LH-PN,3,47F12,20,2.5,2.5,LexA doesn't appear to label these cells
LH-PN,3,51H04,,2,2,
LH-PN,3,52H12,25,2,2.5,
LH-PN,3,64B11,20,2,2.5,"LexA seems pretty dim, labels fewer cells"
LH-PN,3,74B08,10,3,2.5,
LH-PN,3,77B10,30,1.5,1.5,
LH-PN,3,89D04,10,2.5,2.5,
LH-PN,3,89G02,~3,2.5,2.5,
LH-PN,4,17F03,10,3,2.5,LexA pretty dim
LH-PN,4,19E06,10,2.5,2.5,LexA doesn't label these cells
LH-PN,4,20H10,10,2,2,Looks decent
LH-PN,4,21G11,10,3,2.5,
LH-PN,4,31C04,10,3,3,WT has Gal4
